system_id,official_website,research_publication,doi,data_source,publisher,reference,date_accessed,url
SYS01,https://www.vectornetdata.org/,VectorNet: Putting Vectors on the Map,10.3389/fpubh.2022.809763,GBIF-hosted VectorNet occurrence portal,ECDC / EFSA,"Braks M. et al. 2022, Frontiers in Public Health, https://pmc.ncbi.nlm.nih.gov/articles/PMC9013813/",2026-07-09,https://www.vectornetdata.org/
SYS02,https://www.ecdc.europa.eu/en/disease-vectors/surveillance-and-disease-data/tick-maps,VectorNet: Putting Vectors on the Map,10.3389/fpubh.2022.809763,ECDC published tick distribution maps,ECDC,"Braks M. et al. 2022, Frontiers in Public Health (describes the VectorNet mapping methodology underlying these maps), https://pmc.ncbi.nlm.nih.gov/articles/PMC9013813/",2026-07-09,https://www.ecdc.europa.eu/en/disease-vectors/surveillance-and-disease-data/tick-maps
SYS03,https://www.citique.fr/,Infection rate of Borrelia burgdorferi genospecies in human-biting Ixodes ricinus ticks: models for surveillance based on the French citizen science programme CiTIQUE,10.1101/2025.09.18.25336063,CiTIQUE citizen reporting platform + tick library,INRAE,"INRAE, CiTIQUE - citizens making an invaluable contribution, https://www.inrae.fr/en/news/citique-citizens-making-invaluable-contribution",2026-07-09,https://www.citique.fr/
SYS04,https://pragmatick-action.eu/,The DAMA Protocol an Introduction: Finding Pathogens before They Find Us,,COST Action CA21170 project pages,COST Association,"COST, Action CA21170, https://www.cost.eu/actions/CA21170/",2026-07-09,https://pragmatick-action.eu/about-the-action/
SYS05,https://www.tekenradar.nl/,"Tekenradar.nl, een webplatform over tekenbeten en de ziekte van Lyme",,RIVM tick bite reporting statistics,RIVM (Rijksinstituut voor Volksgezondheid en Milieu),"Harms M.G. et al. 2014, Infectieziekten Bulletin 25(7):204-206 (no DOI assigned by this national bulletin); see also RIVM, Ten years of Tick Radar, https://www.rivm.nl/en/news/ten-years-of-tick-radar-80000-tick-bite-reports-chances-of-being-bitten-highest-in-drenthe",2026-07-09,https://www.rivm.nl/en/tick-bites/reporting-tick-bite
SYS06,https://www.gov.uk/guidance/tick-surveillance-scheme,"Mapping ticks (Acari: Argasidae, Ixodidae) and informing local public action: Insights from the United Kingdom Tick Surveillance Scheme (2021-2024)",10.1016/j.ttbdis.2025.102579,UKHSA Tick Surveillance Scheme / NBN Gateway,UK Health Security Agency (UKHSA),"UKHSA, Tick Surveillance Scheme, https://www.gov.uk/guidance/tick-surveillance-scheme",2026-07-09,https://www.gov.uk/guidance/tick-surveillance-scheme
SYS07,https://zecke-tique-tick.ch/en/app-tick/,Assessing tick attachments to humans with citizen science data: spatio-temporal mapping in Switzerland from 2015 to 2021 using spatialMaxent,10.1186/s13071-024-06636-4,Tick Prevention app diary submissions,ADMED Microbiologie / ZHAW / Zeckenliga,"Zecke-Tique-Tick.ch, App Tick Prevention, https://zecke-tique-tick.ch/en/app-tick/",2026-07-09,https://zecke-tique-tick.ch/en/app-tick/
SYS08,https://www.rki.de/EN/Topics/Infectious-diseases/Vector-borne-diseases/ZEMEKI.html,,,Observation.org / ObsIdentify submissions for ZEMEKI,Robert Koch-Institut,"RKI, Project ZEMEKI: Tick and mosquito identification using artificial intelligence, https://www.rki.de/EN/Topics/Infectious-diseases/Vector-borne-diseases/ZEMEKI.html",2026-07-09,https://www.rki.de/EN/Topics/Infectious-diseases/Vector-borne-diseases/ZEMEKI.html
SYS09,https://rki.de/climatick,Zecken und ihre Pathogene im Klimawandel (ZePaK),,RKI CLIMATICK / ZePaK Zecken-Atlas dashboard,Robert Koch-Institut,"RKI, CLIMATICK - Untersuchung von Zecken im RKI, https://rki.de/climatick",2026-07-09,https://rki.de/climatick
SYS10,https://kullancsfigyelo.hu/en/,Emergence of Hyalomma marginatum and Hyalomma rufipes adults revealed by citizen science tick monitoring in Hungary,10.1111/tbed.14563,Kullancsfigyelo citizen report map,HUN-REN Centre for Ecological Research,"Foldvari G. et al. 2022, Transboundary and Emerging Diseases, https://onlinelibrary.wiley.com/doi/full/10.1111/tbed.14563",2026-07-09,https://kullancsfigyelo.hu/en/
