feature_set,model,n_folds_scored,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,f1_mean,f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd
baseline,Logistic Reg,5,0.6709183224939823,0.04309608746206321,0.6249848234170247,0.0755981771646891,0.6617384322798469,0.04881339094059862,0.6506846304019498,0.04512216917989554,0.683831798662194,0.07693464387300164,0.6175374621417055,0.07534212293664963
baseline,k-NN,5,0.7279410020250829,0.05849987290397075,0.6688333244875521,0.06454900417301077,0.7124997926531883,0.0685975327206357,0.6914789267027955,0.06628371199673573,0.7624289819944774,0.09782581222312903,0.6205288714111136,0.045423064468618796
baseline,Random Forest,5,0.731405315069112,0.04796053548497773,0.6896847718167856,0.0692056122845861,0.6694302389208147,0.04215085434161181,0.6696074760491427,0.03261023993335005,0.6710546909931592,0.07450209492125008,0.6681602611051263,0.06396808501898696
baseline,Extra Trees,5,0.7289045085677788,0.04263932174641572,0.6932787465646341,0.061766361825158066,0.6644380263218871,0.039929069604958047,0.6668635266281093,0.03678970888872715,0.6597577053874125,0.06428974547657916,0.6739693478688062,0.07443474548671267
baseline,Gradient Boost,5,0.7260267250967115,0.04434611652554047,0.6915080010774697,0.05785715268678512,0.6856430480786454,0.03731166037678249,0.670066428285571,0.028515659588304924,0.7165437437538895,0.055408674065339676,0.6235891128172524,0.05149682212054454
climate,Logistic Reg,5,0.6800266508836469,0.04880270490261202,0.6433237062930477,0.07123150278769073,0.6489971959393933,0.035370888072532664,0.6386497910937552,0.027809575555426402,0.6681875721766392,0.06533599226875463,0.6091120100108712,0.07236829794429678
climate,k-NN,5,0.7586161807820603,0.01924618939334959,0.7046356537597847,0.027044847427353316,0.7232678432678432,0.026535610712278106,0.701511915165909,0.023300700326833172,0.7748169079891564,0.03149841093278507,0.6282069223426617,0.05352923721592459
climate,Random Forest,5,0.771236345763308,0.03266725401907008,0.7234903934883021,0.050076377593769116,0.7081078571448847,0.0387516567768008,0.7100470631953982,0.02834711199685468,0.7044084094817598,0.06909190993199231,0.7156857169090369,0.06476793660869169
climate,Extra Trees,5,0.7772063772174352,0.02799658939728582,0.7332832952365065,0.04705763641010459,0.7169029931896567,0.026507943438301335,0.7163915311555336,0.022127152738707783,0.7169661454317262,0.04681952838550525,0.7158169168793409,0.05926683857672586
climate,Gradient Boost,5,0.7565103807497634,0.03267638191456906,0.7169125087863193,0.05333697126827138,0.7095212991408855,0.038994123637209055,0.6960041095900401,0.02840367764310278,0.7410139535468839,0.06372893854254122,0.6509942656331964,0.06676229869713944
final,Logistic Reg,5,0.6825004323932791,0.04698190559701463,0.6472785410405051,0.06763185432529484,0.6543515651874785,0.030963967530193478,0.6428669871422231,0.028702422934090966,0.6746885113872296,0.05134744224692439,0.6110454628972167,0.07820917482714955
final,k-NN,5,0.7396967319312109,0.019691950427998497,0.6758042321889516,0.02880027691029249,0.7200178648853859,0.024649721413196997,0.6981632359178483,0.01776711201244638,0.7685572085545362,0.02986871681566199,0.6277692632811605,0.015807550319652374
final,Random Forest,5,0.7723917732620437,0.035611561947303354,0.7353903299836192,0.06232577703151786,0.7124104229811455,0.02967145765723801,0.7104086423988228,0.01892058086557142,0.7170259610856491,0.06400382397515726,0.7037913237119965,0.051143836608670716
final,Extra Trees,5,0.7812152916200376,0.02980469519367148,0.7414410314095414,0.051708028271428806,0.7102805074167687,0.03189443953000563,0.7073466148179346,0.02045086503655819,0.7168924975249746,0.06839993693364742,0.6978007321108948,0.0502213380810328
final,Gradient Boost,5,0.7553971323598363,0.03932537316276658,0.714266763936189,0.0625996031764977,0.7162055170488666,0.04195023318689769,0.7038471749463824,0.032270421192347444,0.7467210720444758,0.06759679503816592,0.6609732778482887,0.06623269110484324
