lat,lon,probability
59.6624,25.6874,0.352
59.654,25.679,0.407
59.654,25.7207,0.35
59.6457,25.5124,0.41
59.6457,25.7207,0.343
59.6374,25.4874,0.368
59.6374,25.529,0.428
59.6374,25.7207,0.35
59.6374,25.7624,0.423
59.629,25.5124,0.365
59.629,25.6874,0.36
59.629,25.729,0.37
59.629,25.7707,0.382
59.6207,25.4957,0.382
59.6207,25.5374,0.445
59.6207,25.7124,0.365
59.6207,25.754,0.39
59.6207,25.8874,0.405
59.6207,25.9957,0.417
59.6207,26.0374,0.38
59.6124,25.5207,0.39
59.6124,25.5624,0.407
59.6124,25.729,0.375
59.6124,25.7707,0.382
59.6124,25.8957,0.375
59.6124,25.9874,0.393
59.6124,26.029,0.375
59.604,25.504,0.385
59.604,25.5457,0.387
59.604,25.7124,0.38
59.604,25.754,0.368
59.604,25.8707,0.38
59.604,25.9124,0.375
59.604,25.9957,0.368
59.604,26.0374,0.373
59.5957,25.504,0.403
59.5957,25.5457,0.385
59.5957,25.5874,0.395
59.5957,25.7374,0.36
59.5957,25.779,0.39
59.5957,25.904,0.377
59.5957,25.954,0.44
59.5957,25.9957,0.37
59.5957,26.0374,0.373
59.5874,24.504,0.423
59.5874,25.5124,0.433
59.5874,25.554,0.377
59.5874,25.5957,0.382
59.5874,25.7457,0.377
59.5874,25.8624,0.403
59.5874,25.904,0.385
59.5874,25.9457,0.442
59.5874,25.9874,0.385
59.5874,26.029,0.385
59.5874,26.0707,0.393
59.579,24.5124,0.42
59.579,25.5207,0.442
59.579,25.5624,0.403
59.579,25.604,0.387
59.579,25.7374,0.393
59.579,25.779,0.428
59.579,25.8457,0.44
59.579,25.8874,0.382
59.579,25.929,0.41
59.579,25.9707,0.41
59.579,26.0124,0.395
59.579,26.054,0.393
59.579,26.0957,0.38
59.579,26.1374,0.395
59.579,26.179,0.403
59.579,26.2207,0.385
59.579,26.2624,0.39
59.579,26.304,0.452
59.5707,24.5207,0.4
59.5707,25.5207,0.423
59.5707,25.5624,0.412
59.5707,25.604,0.403
59.5707,25.6457,0.403
59.5707,25.7374,0.415
59.5707,25.779,0.41
59.5707,25.8207,0.442
59.5707,25.8624,0.415
59.5707,25.904,0.39
59.5707,25.9457,0.398
59.5707,25.9874,0.387
59.5707,26.029,0.395
59.5707,26.0707,0.403
59.5707,26.1124,0.403
59.5707,26.154,0.403
